sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
0,21500001,4,12:00,,,82 - 66,0,,,0,,,0,,,Start Period ,
1,21500001,4,11:44,,Baynes  Dunk (2 PTS) (Ilyasova 3 AST),84 - 66,203382,Aron Baynes,DET,101141,Ersan Ilyasova,DET,0,,,Made Shot ,
2,21500001,4,11:29,Schroder 2' Driving Finger Roll Layup (16 PTS),,84 - 68,203471,Dennis Schroder,ATL,0,,,0,,,Made Shot ,
3,21500001,4,11:17,Schroder STEAL (2 STL),Blake Lost Ball Turnover (P3.T13),,2581,Steve Blake,DET,203471,Dennis Schroder,ATL,0,,,Turnover ,Lost Ball
4,21500001,4,11:14,,Ilyasova S.FOUL (P3.T1) (Z.Zarba),,101141,Ersan Ilyasova,DET,203471,Dennis Schroder,ATL,0,,,Foul ,Shooting
5,21500001,4,11:14,Schroder Free Throw 1 of 2 (17 PTS),,84 - 69,203471,Dennis Schroder,ATL,0,,,0,,,Free Throw ,Free Throw 1 of 2
6,21500001,4,11:14,Schroder Free Throw 2 of 2 (18 PTS),,84 - 70,203471,Dennis Schroder,ATL,0,,,0,,,Free Throw ,Free Throw 2 of 2
7,21500001,4,11:00,,Baynes  Dunk (4 PTS) (Blake 2 AST),86 - 70,203382,Aron Baynes,DET,2581,Steve Blake,DET,0,,,Made Shot ,
8,21500001,4,10:50,Bazemore Offensive Charge Foul (P3.T1) (E.Roe),,,203145,Kent Bazemore,ATL,101141,Ersan Ilyasova,DET,0,,,Foul ,Offensive Charge
9,21500001,4,10:50,Bazemore Foul Turnover (P3.T13),,,203145,Kent Bazemore,ATL,0,,,0,,,Turnover ,Foul
10,21500001,4,10:38,,MISS Meeks 19' Jump Shot,,201975,Jodie Meeks,DET,0,,,0,,,Missed Shot ,
11,21500001,4,10:37,Schroder REBOUND (Off:1 Def:1),,,203471,Dennis Schroder,ATL,0,,,0,,,Rebound ,Unknown
12,21500001,4,10:25,,Johnson P.FOUL (P1.T2) (M.Smith),,1626169,Stanley Johnson,DET,203934,Lamar Patterson,ATL,0,,,Foul ,Personal
13,21500001,4,10:22,,Blake P.FOUL (P1.T3) (M.Smith),,2581,Steve Blake,DET,203471,Dennis Schroder,ATL,0,,,Foul ,Personal
14,21500001,4,10:16,Muscala Offensive Charge Foul (P2.T2) (E.Roe),,,203488,Mike Muscala,ATL,101141,Ersan Ilyasova,DET,0,,,Foul ,Offensive Charge
15,21500001,4,10:16,Muscala Foul Turnover (P1.T14),,,203488,Mike Muscala,ATL,0,,,0,,,Turnover ,Foul
16,21500001,4,10:16,SUB: Scott FOR Muscala,,,203488,Mike Muscala,ATL,203118,Mike Scott,ATL,0,,,Substitution ,
17,21500001,4,10:16,HAWKS Timeout: Regular (Full 4 Short 0),,,1610612737,,,0,,,0,,,Timeout ,Regular
18,21500001,4,10:04,,MISS Johnson 13' Pullup Jump Shot,,1626169,Stanley Johnson,DET,0,,,0,,,Missed Shot ,
19,21500001,4,10:01,Scott REBOUND (Off:0 Def:1),,,203118,Mike Scott,ATL,0,,,0,,,Rebound ,Unknown
20,21500001,4,9:50,Bazemore Lost Ball Turnover (P4.T15),Blake STEAL (1 STL),,203145,Kent Bazemore,ATL,2581,Steve Blake,DET,0,,,Turnover ,Lost Ball
21,21500001,4,9:41,,Meeks 1' Driving Layup (2 PTS) (Blake 3 AST),88 - 70,201975,Jodie Meeks,DET,2581,Steve Blake,DET,0,,,Made Shot ,
22,21500001,4,9:29,Horford 18' Jump Shot (15 PTS) (Bazemore 1 AST),,88 - 72,201143,Al Horford,ATL,203145,Kent Bazemore,ATL,0,,,Made Shot ,
23,21500001,4,9:13,,MISS Ilyasova 25' 3PT Jump Shot,,101141,Ersan Ilyasova,DET,0,,,0,,,Missed Shot ,
24,21500001,4,9:11,Bazemore REBOUND (Off:0 Def:7),,,203145,Kent Bazemore,ATL,0,,,0,,,Rebound ,Unknown
25,21500001,4,9:00,MISS Schroder 21' Pullup Jump Shot,,,203471,Dennis Schroder,ATL,0,,,0,,,Missed Shot ,
26,21500001,4,8:59,,Ilyasova REBOUND (Off:0 Def:3),,101141,Ersan Ilyasova,DET,0,,,0,,,Rebound ,Unknown
27,21500001,4,8:48,,Baynes 16' Jump Shot (6 PTS) (Blake 4 AST),90 - 72,203382,Aron Baynes,DET,2581,Steve Blake,DET,0,,,Made Shot ,
28,21500001,4,8:22,MISS Scott 25' 3PT Jump Shot,,,203118,Mike Scott,ATL,0,,,0,,,Missed Shot ,
29,21500001,4,8:21,,Baynes REBOUND (Off:0 Def:4),,203382,Aron Baynes,DET,0,,,0,,,Rebound ,Unknown
30,21500001,4,8:14,,Meeks Out of Bounds Lost Ball Turnover (P1.T14),,201975,Jodie Meeks,DET,0,,,0,,,Turnover ,Out of Bounds Lost Ball Turnover
31,21500001,4,8:14,SUB: Korver FOR Bazemore,,,203145,Kent Bazemore,ATL,2594,Kyle Korver,ATL,0,,,Substitution ,
32,21500001,4,8:14,SUB: Teague FOR Horford,,,201143,Al Horford,ATL,201952,Jeff Teague,ATL,0,,,Substitution ,
33,21500001,4,8:14,SUB: Millsap FOR Patterson,,,203934,Lamar Patterson,ATL,200794,Paul Millsap,ATL,0,,,Substitution ,
34,21500001,4,8:06,MISS Millsap 24' 3PT Jump Shot,,,200794,Paul Millsap,ATL,0,,,0,,,Missed Shot ,
35,21500001,4,8:05,,Meeks REBOUND (Off:1 Def:1),,201975,Jodie Meeks,DET,0,,,0,,,Rebound ,Unknown
36,21500001,4,7:52,,MISS Blake  3PT Jump Shot,,2581,Steve Blake,DET,0,,,0,,,Missed Shot ,
37,21500001,4,7:50,Teague REBOUND (Off:0 Def:2),,,201952,Jeff Teague,ATL,0,,,0,,,Rebound ,Unknown
38,21500001,4,7:39,Scott 1' Finger Roll Layup (2 PTS) (Schroder 4 AST),,90 - 74,203118,Mike Scott,ATL,203471,Dennis Schroder,ATL,0,,,Made Shot ,
39,21500001,4,7:18,,SUB: Caldwell-Pope FOR Meeks,,201975,Jodie Meeks,DET,203484,Kentavious Caldwell-Pope,DET,0,,,Substitution ,
40,21500001,4,7:18,,SUB: Marc Morris FOR Johnson,,1626169,Stanley Johnson,DET,202694,Marcus Morris,DET,0,,,Substitution ,
41,21500001,4,7:17,Jump Ball Millsap vs. Baynes: Tip to Marc Morris,,,200794,Paul Millsap,ATL,203382,Aron Baynes,DET,202694,Marcus Morris,DET,Jump Ball ,
42,21500001,4,7:11,,MISS Marc Morris 19' Jump Shot,,202694,Marcus Morris,DET,0,,,0,,,Missed Shot ,
43,21500001,4,7:10,,Baynes REBOUND (Off:1 Def:4),,203382,Aron Baynes,DET,0,,,0,,,Rebound ,Unknown
44,21500001,4,7:10,,MISS Baynes  Tip Layup Shot,,203382,Aron Baynes,DET,0,,,0,,,Missed Shot ,
45,21500001,4,7:07,,Ilyasova REBOUND (Off:1 Def:3),,101141,Ersan Ilyasova,DET,0,,,0,,,Rebound ,Unknown
46,21500001,4,7:07,,MISS Ilyasova  Putback Layup,,101141,Ersan Ilyasova,DET,0,,,0,,,Missed Shot ,
47,21500001,4,7:06,Korver REBOUND (Off:0 Def:2),,,2594,Kyle Korver,ATL,0,,,0,,,Rebound ,Unknown
48,21500001,4,7:01,Scott 1' Reverse Layup (4 PTS) (Teague 2 AST),,90 - 76,203118,Mike Scott,ATL,201952,Jeff Teague,ATL,0,,,Made Shot ,
49,21500001,4,7:01,,Pistons Timeout: Regular (Reg.4 Short 0),,1610612765,,,0,,,0,,,Timeout ,Regular
50,21500001,4,7:01,,SUB: Drummond FOR Baynes,,203382,Aron Baynes,DET,203083,Andre Drummond,DET,0,,,Substitution ,
51,21500001,4,7:01,,SUB: Jackson FOR Blake,,2581,Steve Blake,DET,202704,Reggie Jackson,DET,0,,,Substitution ,
52,21500001,4,6:39,,MISS Marc Morris 15' Turnaround Fadeaway Bank Jump Shot,,202694,Marcus Morris,DET,0,,,0,,,Missed Shot ,
53,21500001,4,6:37,Schroder REBOUND (Off:1 Def:2),,,203471,Dennis Schroder,ATL,0,,,0,,,Rebound ,Unknown
54,21500001,4,6:23,MISS Millsap 19' Jump Shot,,,200794,Paul Millsap,ATL,0,,,0,,,Missed Shot ,
55,21500001,4,6:23,,Pistons Rebound,,1610612765,,,0,,,0,,,Rebound ,Unknown
56,21500001,4,5:58,,MISS Jackson 27' 3PT Pullup Jump Shot,,202704,Reggie Jackson,DET,0,,,0,,,Missed Shot ,
57,21500001,4,5:56,Millsap REBOUND (Off:1 Def:6),,,200794,Paul Millsap,ATL,0,,,0,,,Rebound ,Unknown
